,date,track,race_number,race_name,market_id,selection_id,selection_name,model_odds,market_name,result,matched_volume,bsp,best_back_1m,best_back_5m,win,model_prob,market_odds
0,2021-02-18,DOOMBEN,1,R1 1200m 3yo,1.179418181,38523320,11. Vast Kama,34.28,R1 1200m 3yo,LOSER,1934.49,42.0,34,32,0,0.029171528588098017,0.023809523809523808
1,2021-02-18,DOOMBEN,1,R1 1200m 3yo,1.179418181,38523319,10. Triptonic,21.22,R1 1200m 3yo,LOSER,1710.76,23.87,29,28,0,0.047125353440150806,0.04189359028068705
2,2021-02-18,DOOMBEN,1,R1 1200m 3yo,1.179418181,35773035,9. Right Reason,10.23,R1 1200m 3yo,LOSER,5524.11,12.5,10,11.5,0,0.09775171065493646,0.08
3,2021-02-18,DOOMBEN,1,R1 1200m 3yo,1.179418181,38523318,8. Off Road,40.75,R1 1200m 3yo,LOSER,1506.51,35.31,32,34,0,0.024539877300613498,0.02832058906825262
4,2021-02-18,DOOMBEN,1,R1 1200m 3yo,1.179418181,38523317,7. More Than Value,77.49,R1 1200m 3yo,LOSER,617.18,55.0,50,60,0,0.012904890953671443,0.01818181818181818
5,2021-02-18,DOOMBEN,1,R1 1200m 3yo,1.179418181,38523316,4. Bundyandcoke,3.71,R1 1200m 3yo,WINNER,30787.41,2.3,2.72,2.52,1,0.2695417789757412,0.4347826086956522
6,2021-02-18,DOOMBEN,1,R1 1200m 3yo,1.179418181,38476679,3. Bullgari,66.07,R1 1200m 3yo,LOSER,334.66,140.0,46,80,0,0.015135462388375966,0.007142857142857143
7,2021-02-18,DOOMBEN,1,R1 1200m 3yo,1.179418181,28143714,2. Better Get Ready,4.02,R1 1200m 3yo,LOSER,25836.01,2.76,2.42,2.5,0,0.24875621890547267,0.3623188405797102
8,2021-02-18,DOOMBEN,1,R1 1200m 3yo,1.179418181,38389542,1. Bailey Boo,174.48,R1 1200m 3yo,LOSER,316.55,211.4,110,190,0,0.005731315910132967,0.004730368968779565
9,2021-02-18,DOOMBEN,2,R2 1200m 3yo,1.179418183,38523328,12. Shes At Regatta,16.33,R2 1200m 3yo,LOSER,14397.39,6.64,10,8.2,0,0.06123698714023271,0.15060240963855423
10,2021-02-18,DOOMBEN,2,R2 1200m 3yo,1.179418183,38523330,14. Sonic Arrow,3.47,R2 1200m 3yo,LOSER,16544.33,6.98,5.3,6.2,0,0.2881844380403458,0.14326647564469913
11,2021-02-18,DOOMBEN,2,R2 1200m 3yo,1.179418183,38523329,13. Siennas Award,11.77,R2 1200m 3yo,LOSER,10930.66,7.83,5.5,8,0,0.08496176720475786,0.1277139208173691
12,2021-02-18,DOOMBEN,2,R2 1200m 3yo,1.179418183,38523325,8. Profiterole,15.33,R2 1200m 3yo,LOSER,5491.86,12.5,12.5,11.5,0,0.06523157208088715,0.08
13,2021-02-18,DOOMBEN,2,R2 1200m 3yo,1.179418183,38523324,7. Miss Moscato,35.74,R2 1200m 3yo,LOSER,4312.09,18.01,46,24,0,0.027979854504756575,0.05552470849528039
14,2021-02-18,DOOMBEN,2,R2 1200m 3yo,1.179418183,38523323,6. Marto,25.08,R2 1200m 3yo,LOSER,1360.87,40.0,36,38,0,0.03987240829346093,0.025
15,2021-02-18,DOOMBEN,2,R2 1200m 3yo,1.179418183,38523322,5. Laraina,48.62,R2 1200m 3yo,LOSER,8043.76,10.5,14,11,0,0.020567667626491155,0.09523809523809523
16,2021-02-18,DOOMBEN,2,R2 1200m 3yo,1.179418183,2497527,2. In Order,38.34,R2 1200m 3yo,LOSER,3152.48,23.93,19,25,0,0.026082420448617628,0.041788549937317176
17,2021-02-18,DOOMBEN,2,R2 1200m 3yo,1.179418183,573419,1. Dansant,4.95,R2 1200m 3yo,WINNER,27346.7,3.65,3.95,3.6,1,0.20202020202020202,0.273972602739726
18,2021-02-18,DOOMBEN,2,R2 1200m 3yo,1.179418183,20274577,4. Lady Flora,11.77,R2 1200m 3yo,LOSER,1679.33,32.71,17,20,0,0.08496176720475786,0.03057169061449098
19,2021-02-18,DOOMBEN,3,R3 2220m Hcap,1.179418185,38523331,7. Miss Penfold,5.43,R3 2220m Hcap,WINNER,14303.04,4.63,4.8,5.6,1,0.1841620626151013,0.2159827213822894
20,2021-02-18,DOOMBEN,3,R3 2220m Hcap,1.179418185,5647711,5. Youngblood,4.57,R3 2220m Hcap,LOSER,10232.12,6.05,7.6,7,0,0.2188183807439825,0.1652892561983471
21,2021-02-18,DOOMBEN,3,R3 2220m Hcap,1.179418185,28143703,4. Go Darcy,20.99,R3 2220m Hcap,LOSER,1948.24,26.73,23,24,0,0.04764173415912339,0.03741114852225963
22,2021-02-18,DOOMBEN,3,R3 2220m Hcap,1.179418185,12281114,3. Zawadi,8.62,R3 2220m Hcap,LOSER,3614.76,12.38,11,10.5,0,0.1160092807424594,0.08077544426494346
23,2021-02-18,DOOMBEN,3,R3 2220m Hcap,1.179418185,24215698,2. Meteor Light,14.09,R3 2220m Hcap,LOSER,9940.49,6.2,8,7.8,0,0.07097232079488999,0.16129032258064516
24,2021-02-18,DOOMBEN,3,R3 2220m Hcap,1.179418185,4862790,1. Advance Warning,7.92,R3 2220m Hcap,LOSER,25469.61,4.6,3.4,3.75,0,0.12626262626262627,0.2173913043478261
