market_id,event_date,country,track,market_name,selection_id,selection_name,result,bsp,pp_min,pp_max,pp_wap,pp_ltp,pp_volume,ip_min,ip_max,ip_wap,ip_ltp,ip_volume
1.177443845,2021-01-01 01:36:00,AU,Inverell,R1 1050m Mdn,26335624,1. Flying Euros,LOSER,13.65,7.00,16.00,10.46,16.00,1882.88,5.80,580.00,27.12,700.00,44.67
1.177443845,2021-01-01 01:36:00,AU,Inverell,R1 1050m Mdn,35709461,2. Hey Wayne,LOSER,75.00,60.00,200.00,82.93,75.00,154.08,50.00,980.00,172.54,980.00,4.41
1.177443845,2021-01-01 01:36:00,AU,Inverell,R1 1050m Mdn,37995126,3. Mahisaras Rainbow,LOSER,172.09,120.00,180.00,155.13,180.00,52.01,760.00,980.00,888.33,980.00,0.24
1.177443845,2021-01-01 01:36:00,AU,Inverell,R1 1050m Mdn,36611430,4. Rockdog,LOSER,22.17,8.80,26.00,20.36,25.00,1568.55,10.50,760.00,46.19,910.00,30.79
1.177443845,2021-01-01 01:36:00,AU,Inverell,R1 1050m Mdn,37995128,7. Ourasianprincess,LOSER,134.49,55.00,200.00,107.01,180.00,220.56,220.00,980.00,380.51,980.00,1.97
1.177443845,2021-01-01 01:36:00,AU,Inverell,R1 1050m Mdn,36782062,9. Arcane Energy,LOSER,6.68,3.60,7.40,5.75,7.00,3439.08,5.40,690.00,30.88,690.00,178.33
1.177443845,2021-01-01 01:36:00,AU,Inverell,R1 1050m Mdn,35453290,10. Jade,LOSER,13.00,7.20,15.50,11.31,13.50,1516.71,15.00,700.00,38.50,700.00,46.05
1.177443845,2021-01-01 01:36:00,AU,Inverell,R1 1050m Mdn,37995129,11. Loburn Lass,LOSER,8.40,5.40,9.20,8.03,8.80,2191.43,4.60,980.00,22.44,980.00,150.50
1.177443845,2021-01-01 01:36:00,AU,Inverell,R1 1050m Mdn,37616783,12. Power Runner,LOSER,100.00,60.00,140.00,105.02,100.00,153.62,36.00,980.00,133.05,980.00,8.55
1.177443845,2021-01-01 01:36:00,AU,Inverell,R1 1050m Mdn,37995130,13. Flowrider,WINNER,3.15,3.10,5.90,3.44,3.10,13448.23,1.01,3.35,1.46,1.01,4320.90
1.177443845,2021-01-01 01:36:00,AU,Inverell,R1 1050m Mdn,27788309,14. Smart And Sassy,LOSER,7.20,6.60,12.00,7.43,7.20,2457.70,2.72,880.00,20.18,690.00,160.58
1.177443845,2021-01-01 01:36:00,AU,Inverell,R1 1050m Mdn,37995131,15. Kegstar,LOSER,42.66,23.00,50.00,34.90,44.00,1367.46,11.00,760.00,36.46,980.00,57.34
1.177443845,2021-01-01 01:36:00,AU,Inverell,R1 1050m Mdn,37995132,16. Subarli,REMOVED,,,,,,,,,,,
